Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Austria,1991,8.5,Total
Austria,1991,9.1,Total
Austria,1991,12.4,Total
Austria,1991,14.3,Total
Austria,1991,15,Total
Austria,1991,16.6,Total
Austria,1991,8.9,Female
Austria,1991,9.1,Female
Austria,1991,12.7,Female
Austria,1999,13.1,Female
Austria,1999,13.7,Female
Austria,1999,15.2,Female
Austria,1999,35.3,Female
Austria,1999,30.4,Female
Austria,1999,41.3,Female
Austria,1999,39,Female
Austria,1999,43.1,Female
Austria,1999,8,Male
Austria,2006,9.1,Male
Austria,2006,12,Male
Austria,2006,15.6,Male
Austria,2006,16.3,Male
Austria,2006,18.1,Male
Austria,2006,42,Total
Austria,2006,46.1,Total
Austria,2006,47.7,Total
Austria,2006,46.7,Total
Austria,2014,51.1,Total
Austria,2014,49.4,Male
Austria,2014,63.4,Male
Austria,2014,54.5,Male
Austria,2014,55,Male
Austria,2014,59.5,Male
Austria,2014,41.4,Male
Austria,2014,54.4,Male
Austria,2014,42.5,Male
Austria,2017,39.4,Male
Austria,2017,43,Male
Austria,2017,41.4,Male
Austria,2017,33.5,Total
Austria,2017,37,Total
Austria,2017,35.3,Total
Austria,2019,32.4,Total
Austria,2019,35,Total
Austria,2019,34.5,Total
Austria,2019,26.4,Female
Austria,2019,21.5,Female
Austria,2019,28.6,Female
Austria,2019,25.9,Female
Austria,2019,27.3,Female
Austria,2019,27.9,Female
Belgium,1997,18.6,Total
Belgium,1997,21.2,Total
Belgium,1997,51,Total
Belgium,1997,55.4,Total
Belgium,1997,10.8,Total
Belgium,1997,12.1,Total
Belgium,1997,12.7,Total
Belgium,1997,14,Total
Belgium,1997,13.7,Total
Belgium,2001,15.9,Total
Belgium,2001,30.5,Total
Belgium,2001,32.4,Total
Belgium,2001,31.4,Total
Belgium,2001,33.5,Total
Belgium,2001,34.4,Total
Belgium,2001,33.4,Total
Belgium,2001,41.3,Total
Belgium,2001,44.5,Total
Belgium,2004,44.1,Total
