Reference area,Measure.1,Sex.1,TIME_PERIOD,OBS_VALUE
Austria,Share of population who are obese,Total,1991,8.5
Austria,Share of population who are obese,Total,1999,9.1
Austria,Share of population who are obese,Total,2006,12.4
Austria,Share of population who are obese,Total,2014,14.3
Austria,Share of population who are obese,Total,2017,15
Austria,Share of population who are obese,Total,2019,16.6
Austria,Share of population who are obese,Female,1991,8.9
Austria,Share of population who are obese,Female,1999,9.1
Austria,Share of population who are obese,Female,2006,12.7
Austria,Share of population who are obese,Female,2014,13.1
Austria,Share of population who are obese,Female,2017,13.7
Austria,Share of population who are obese,Female,2019,15.2
Austria,Share of population who are overweight or obese,Female,1991,35.3
Austria,Share of population who are overweight or obese,Female,1999,30.4
Austria,Share of population who are overweight or obese,Female,2006,41.3
Austria,Share of population who are overweight or obese,Female,2014,39
Austria,Share of population who are overweight or obese,Female,2019,43.1
Austria,Share of population who are obese,Male,1991,8
Austria,Share of population who are obese,Male,1999,9.1
Austria,Share of population who are obese,Male,2006,12
Austria,Share of population who are obese,Male,2014,15.6
Austria,Share of population who are obese,Male,2017,16.3
Austria,Share of population who are obese,Male,2019,18.1
Austria,Share of population who are overweight or obese,Total,1991,42
Austria,Share of population who are overweight or obese,Total,1999,46.1
Austria,Share of population who are overweight or obese,Total,2006,47.7
Austria,Share of population who are overweight or obese,Total,2014,46.7
Austria,Share of population who are overweight or obese,Total,2019,51.1
Austria,Share of population who are overweight or obese,Male,1991,49.4
Austria,Share of population who are overweight or obese,Male,1999,63.4
Austria,Share of population who are overweight or obese,Male,2006,54.5
Austria,Share of population who are overweight or obese,Male,2014,55
Austria,Share of population who are overweight or obese,Male,2019,59.5
Austria,Share of population who are overweight,Male,1991,41.4
Austria,Share of population who are overweight,Male,1999,54.4
Austria,Share of population who are overweight,Male,2006,42.5
Austria,Share of population who are overweight,Male,2014,39.4
Austria,Share of population who are overweight,Male,2017,43
Austria,Share of population who are overweight,Male,2019,41.4
Austria,Share of population who are overweight,Total,1991,33.5
Austria,Share of population who are overweight,Total,1999,37
Austria,Share of population who are overweight,Total,2006,35.3
Austria,Share of population who are overweight,Total,2014,32.4
Austria,Share of population who are overweight,Total,2017,35
Austria,Share of population who are overweight,Total,2019,34.5
Austria,Share of population who are overweight,Female,1991,26.4
Austria,Share of population who are overweight,Female,1999,21.5
Austria,Share of population who are overweight,Female,2006,28.6
Austria,Share of population who are overweight,Female,2014,25.9
Austria,Share of population who are overweight,Female,2017,27.3
Austria,Share of population who are overweight,Female,2019,27.9
Belgium,Share of population who are obese,Total,2014,18.6
Belgium,Share of population who are obese,Total,2018,21.2
Belgium,Share of population who are overweight or obese,Total,2014,51
Belgium,Share of population who are overweight or obese,Total,2018,55.4
Belgium,Share of population who are obese,Total,1997,10.8
Belgium,Share of population who are obese,Total,2001,12.1
Belgium,Share of population who are obese,Total,2004,12.7
Belgium,Share of population who are obese,Total,2008,14
Belgium,Share of population who are obese,Total,2013,13.7
Belgium,Share of population who are obese,Total,2018,15.9
Belgium,Share of population who are overweight,Total,1997,30.5
Belgium,Share of population who are overweight,Total,2001,32.4
Belgium,Share of population who are overweight,Total,2004,31.4
Belgium,Share of population who are overweight,Total,2008,33.5
Belgium,Share of population who are overweight,Total,2013,34.4
Belgium,Share of population who are overweight,Total,2018,33.4
Belgium,Share of population who are overweight or obese,Total,1997,41.3
Belgium,Share of population who are overweight or obese,Total,2001,44.5
Belgium,Share of population who are overweight or obese,Total,2004,44.1
Belgium,Share of population who are overweight or obese,Total,2008,47.5
Belgium,Share of population who are overweight or obese,Total,2013,48.1
Belgium,Share of population who are overweight or obese,Total,2018,49.3
Belgium,Share of population who are overweight,Female,2014,27.2
Belgium,Share of population who are overweight,Female,2018,29.1
Belgium,Share of population who are overweight or obese,Female,1997,34
Belgium,Share of population who are overweight or obese,Female,2001,38.8
Belgium,Share of population who are overweight or obese,Female,2004,37.8
Belgium,Share of population who are overweight or obese,Female,2008,41.5
Belgium,Share of population who are overweight or obese,Female,2013,41.7
Belgium,Share of population who are overweight or obese,Female,2018,43.4
Belgium,Share of population who are overweight,Total,2014,32.4
Belgium,Share of population who are overweight,Total,2018,34.2
Belgium,Share of population who are obese,Male,1997,11.2
Belgium,Share of population who are obese,Male,2001,11.5
Belgium,Share of population who are obese,Male,2004,11.9
Belgium,Share of population who are obese,Male,2008,13.3
Belgium,Share of population who are obese,Male,2013,13.6
Belgium,Share of population who are obese,Male,2018,16.7
Belgium,Share of population who are overweight or obese,Male,2014,55.5
Belgium,Share of population who are overweight or obese,Male,2018,59.3
Belgium,Share of population who are obese,Male,2014,18.1
Belgium,Share of population who are obese,Male,2018,19.6
Belgium,Share of population who are overweight or obese,Female,2014,46.4
Belgium,Share of population who are overweight or obese,Female,2018,51.7
Belgium,Share of population who are overweight,Male,1997,37.5
Belgium,Share of population who are overweight,Male,2001,39
Belgium,Share of population who are overweight,Male,2004,38.7
Belgium,Share of population who are overweight,Male,2008,40.8
Belgium,Share of population who are overweight,Male,2013,41.3
Belgium,Share of population who are overweight,Male,2018,38.6
Belgium,Share of population who are overweight,Male,2014,37.4
Belgium,Share of population who are overweight,Male,2018,39.7
Belgium,Share of population who are obese,Female,1997,10.5
Belgium,Share of population who are obese,Female,2001,12.7
Belgium,Share of population who are obese,Female,2004,13.5
Belgium,Share of population who are obese,Female,2008,14.7
Belgium,Share of population who are obese,Female,2013,13.9
Belgium,Share of population who are obese,Female,2018,15
Belgium,Share of population who are overweight or obese,Male,1997,48.7
Belgium,Share of population who are overweight or obese,Male,2001,50.5
Belgium,Share of population who are overweight or obese,Male,2004,50.6
Belgium,Share of population who are overweight or obese,Male,2008,54.1
Belgium,Share of population who are overweight or obese,Male,2013,54.9
Belgium,Share of population who are overweight or obese,Male,2018,55.3
Belgium,Share of population who are overweight,Female,1997,23.5
Belgium,Share of population who are overweight,Female,2001,26.1
Belgium,Share of population who are overweight,Female,2004,24.4
Belgium,Share of population who are overweight,Female,2008,26.8
Belgium,Share of population who are overweight,Female,2013,27.9
Belgium,Share of population who are overweight,Female,2018,28.4
Belgium,Share of population who are obese,Female,2014,19.2
Belgium,Share of population who are obese,Female,2018,22.6
Bulgaria,Share of population who are obese,Male,2008,11.6
Bulgaria,Share of population who are obese,Male,2014,15.5
Bulgaria,Share of population who are obese,Male,2019,15.6
Bulgaria,Share of population who are overweight or obese,Male,2008,57.9
Bulgaria,Share of population who are overweight or obese,Male,2014,62.2
Bulgaria,Share of population who are overweight or obese,Male,2019,64.4
Bulgaria,Share of population who are overweight or obese,Female,2008,44
Bulgaria,Share of population who are overweight or obese,Female,2014,46.8
Bulgaria,Share of population who are overweight or obese,Female,2019,46.3
Bulgaria,Share of population who are obese,Female,2008,11.3
Bulgaria,Share of population who are obese,Female,2014,14.2
Bulgaria,Share of population who are obese,Female,2019,11.9
Bulgaria,Share of population who are overweight,Total,2008,39.1
Bulgaria,Share of population who are overweight,Total,2014,39.2
Bulgaria,Share of population who are overweight,Total,2019,41.2
Bulgaria,Share of population who are overweight,Female,2008,32.7
Bulgaria,Share of population who are overweight,Female,2014,32.6
Bulgaria,Share of population who are overweight,Female,2019,34.4
Bulgaria,Share of population who are overweight or obese,Total,2008,50.6
Bulgaria,Share of population who are overweight or obese,Total,2014,54
Bulgaria,Share of population who are overweight or obese,Total,2019,54.8
Bulgaria,Share of population who are overweight,Male,2008,46.3
Bulgaria,Share of population who are overweight,Male,2014,46.7
Bulgaria,Share of population who are overweight,Male,2019,48.8
Bulgaria,Share of population who are obese,Total,2008,11.5
Bulgaria,Share of population who are obese,Total,2014,14.8
Bulgaria,Share of population who are obese,Total,2019,13.6
Croatia,Share of population who are overweight or obese,Female,2014,46.8
Croatia,Share of population who are overweight or obese,Female,2019,57.6
Croatia,Share of population who are overweight,Male,2014,45.8
Croatia,Share of population who are overweight,Male,2019,48.7
Croatia,Share of population who are obese,Male,1975,6.2
Croatia,Share of population who are obese,Male,1976,6.5
Croatia,Share of population who are obese,Male,1977,6.9
Croatia,Share of population who are obese,Male,1978,7.3
Croatia,Share of population who are obese,Male,1979,7.7
Croatia,Share of population who are obese,Male,1980,8.1
Croatia,Share of population who are obese,Male,1981,8.5
